X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.07832374,38.8989879,30370905,38.898984,-77.078317,21st St & N Pierce St,classic,355,active,2021/11/07 21:27:17+00,2,0,13,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.05323194,38.85897772,30370906,38.858971,-77.05323,Eads St & 15th St S,classic,1,active,2021/11/07 22:27:58+00,9,0,6,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.04923219,38.8564301,30370907,38.856425,-77.049232,Crystal Dr & 20th St S,classic,3,active,2021/11/07 21:59:40+00,6,0,11,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.04941974,38.86106035,30370908,38.861056,-77.049417,Crystal Dr & 15th St S,classic,4,active,2021/11/07 19:39:22+00,11,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,16,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.05948723,38.85787568,30370909,38.857866,-77.05949,Aurora Hills Cmty Ctr / 18th St & S Hayes St,classic,5,active,2021/11/07 18:37:04+00,6,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.05994029,38.86230759,30370910,38.862303,-77.059936,Pentagon City Metro / 12th St & S Hayes St,classic,6,active,2021/11/07 21:53:06+00,9,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,18,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.06342087,38.8633237,30370911,38.863314,-77.063416,Army Navy Dr & S Joyce St,classic,7,active,2021/11/07 20:28:10+00,7,0,9,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,16,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.05169871,38.8577893,30370912,38.857785,-77.051698,Crystal City Metro / 18th St & S Bell St,classic,8,active,2021/11/07 22:27:38+00,14,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.05151916,38.84847466,30370913,38.848466,-77.051514,Crystal Dr & 27th St S,classic,10,active,2021/11/07 22:32:23+00,5,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.05020177,38.84261074,30370914,38.8426,-77.0502,S Glebe Rd & Potomac Ave,classic,11,active,2021/11/07 19:42:59+00,3,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
